detection,pixels,snapshot,time
254,1142,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_254.png,1775528539.53
255,1193,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_255.png,1775528539.73
256,1129,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_256.png,1775528539.93
257,1082,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_257.png,1775528540.13
258,971,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_258.png,1775528540.34
259,753,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_259.png,1775528540.53
260,749,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_260.png,1775528540.73
261,749,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_261.png,1775528540.94
262,755,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_262.png,1775528541.13
263,763,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_263.png,1775528541.33
264,800,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_264.png,1775528541.53
265,795,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_265.png,1775528541.74
266,800,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_266.png,1775528541.94
267,797,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_267.png,1775528542.13
268,802,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_268.png,1775528542.34
269,810,/afs/ec.auckland.ac.nz/users/z/c/zcol623/unixhome/detection_269.png,1775528542.53
